"TOA5","CR200 Series","CR200X","27364","CR200X.Std.04","Sxxxx V1_09 test DB_3&2.CR2","6471","DYL_test_p2_1"
"TIMESTAMP","RECORD","VWC_4_Avg","EC_4_Avg","Temp_4_Avg","VWC_5_Avg","EC_5_Avg","Temp_5_Avg"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2017-12-01 17:00:00",0,0.53,0.4227,17.3864,0.53155,0.66265,17.43435
"2017-12-01 18:00:00",1,0.5302,0.4235834,17.27275,0.5316,0.6641833,17.23165
"2017-12-01 19:00:00",2,0.5302,0.4246,17.08733,0.5316,0.6655,17.03847
"2017-12-01 20:00:00",3,0.5302,0.42465,17.01335,0.5314333,0.6659166,16.94162
"2017-12-01 21:00:00",4,0.5302,0.4246334,16.91695,0.5311,0.6649667,16.88223
"2017-12-01 22:00:00",5,0.5302,0.4243333,16.84475,0.5311,0.6647833,16.80455
"2017-12-01 23:00:00",6,0.5302,0.4239833,16.79267,0.5311,0.6640167,16.77073
"2017-12-02 00:00:00",7,0.5302,0.4239333,16.72137,0.5311,0.66305,16.68982
"2017-12-02 01:00:00",8,0.5302,0.4234167,16.68615,0.5308999,0.6624333,16.6537
"2017-12-02 02:00:00",9,0.53,0.4228,16.69255,0.5307,0.6616834,16.66055
"2017-12-02 03:00:00",10,0.5298666,0.4224833,16.71542,0.5307,0.661,16.67425
"2017-12-02 04:00:00",11,0.5298666,0.4223333,16.75062,0.5307,0.6604833,16.69347
"2017-12-02 05:00:00",12,0.5298666,0.4219,16.7739,0.5307,0.6597,16.71678
"2017-12-02 06:00:00",13,0.5302,0.4217833,16.77573,0.5307,0.6592,16.7337
"2017-12-02 07:00:00",14,0.5299333,0.4218,16.78945,0.5305001,0.6590167,16.71448
"2017-12-02 08:00:00",15,0.5302,0.4215167,16.80775,0.5303001,0.6584833,16.74102
"2017-12-02 09:00:00",16,0.5302,0.4210333,16.81643,0.5303001,0.6582833,16.75108
"2017-12-02 10:00:00",17,0.5302,0.42125,16.83013,0.5303001,0.6583833,16.76203
"2017-12-02 11:00:00",18,0.5302,0.4213333,16.84615,0.5301333,0.65735,16.7785
"2017-12-02 12:00:00",19,0.5302,0.4213667,16.85572,0.5298,0.6557333,16.78535
"2017-12-02 13:00:00",20,0.5302,0.4210833,16.87675,0.5298,0.6534666,16.80638
"2017-12-02 14:00:00",21,0.5302,0.4211833,16.88177,0.5298167,0.6519666,16.80638
"2017-12-02 15:00:00",22,0.5302,0.4213167,16.89683,0.5294833,0.6508,16.82328
"2017-12-02 16:00:00",23,0.5300667,0.4212166,16.90874,0.5293999,0.64845,16.82008
"2017-12-02 17:00:00",24,0.5298,0.4213,16.91877,0.529,0.64845,16.82922
"2017-12-02 18:00:00",25,0.5298,0.4213,16.93707,0.529,0.6472,16.8507
"2017-12-02 19:00:00",26,0.5298,0.4214667,16.95032,0.529,0.6467167,16.85665
"2017-12-02 20:00:00",27,0.5298,0.4213834,16.96263,0.529,0.6457834,16.87447
"2017-12-02 21:00:00",28,0.5297167,0.4211,16.97453,0.5286667,0.6454333,16.8836
"2017-12-02 22:00:00",29,0.5294666,0.42145,16.98547,0.5285,0.6448,16.89642
"2017-12-02 23:00:00",30,0.5293999,0.42155,16.99828,0.5285167,0.64455,16.90552
"2017-12-03 00:00:00",31,0.5293999,0.4214167,17.00055,0.5285833,0.6435166,16.91147
"2017-12-03 01:00:00",32,0.5293834,0.4210667,17.01427,0.5285833,0.6431,16.91925
"2017-12-03 02:00:00",33,0.5293833,0.4213333,17.01882,0.5281,0.6426833,16.92243
"2017-12-03 03:00:00",34,0.5293667,0.4212833,17.03712,0.5281,0.6425333,16.93613
"2017-12-03 04:00:00",35,0.5293333,0.4208833,17.0467,0.5281,0.6419,16.94027
"2017-12-03 05:00:00",36,0.52935,0.42115,17.05992,0.5281,0.6413667,16.95352
"2017-12-03 06:00:00",37,0.5293,0.4207,17.06267,0.5281,0.6407333,16.95715
"2017-12-03 07:00:00",38,0.5293333,0.4210334,17.07182,0.5215001,0.6406834,16.97087
"2017-12-03 08:00:00",39,0.5293167,0.4207333,17.08097,0.5215001,0.6402,16.97728
"2017-12-03 09:00:00",40,0.5293167,0.4206667,17.07912,0.5215001,0.6396834,16.98228
"2017-12-03 10:00:00",41,0.5293,0.4205833,17.10152,0.5215001,0.6396834,17.0138
"2017-12-03 11:00:00",42,0.5293,0.4203667,17.09558,0.5215001,0.6390667,17.00285
"2017-12-03 12:00:00",43,0.52555,0.4205667,17.091,0.5213,0.6389167,16.96312
"2017-12-03 13:00:00",44,0.5218,0.4205167,17.08642,0.5211,0.6386001,16.96447
"2017-12-03 14:00:00",45,0.5218,0.42025,17.1102,0.5211,0.6379834,16.97727
"2017-12-03 15:00:00",46,0.5218,0.4203333,17.1134,0.5211,0.6374667,16.99963
"2017-12-03 16:00:00",47,0.5218,0.4200833,17.14625,0.5211,0.6371667,17.02568
"2017-12-03 17:00:00",48,0.5218,0.4198999,17.12433,0.5211,0.6366,17.00558
"2017-12-03 18:00:00",49,0.5218,0.4197667,17.12525,0.5206833,0.6362166,16.99783
"2017-12-03 19:00:00",50,0.5218,0.4198333,17.12523,0.5206,0.6356834,16.98822
"2017-12-03 20:00:00",51,0.5218,0.4193833,17.12572,0.5206,0.63535,16.99052
"2017-12-03 21:00:00",52,0.5218,0.4198667,17.11978,0.5206,0.63515,16.99555
"2017-12-03 22:00:00",53,0.5218,0.4196334,17.13347,0.5206,0.6346833,17.00922
"2017-12-03 23:00:00",54,0.5218,0.41975,17.14535,0.5205334,0.63415,17.02568
"2017-12-04 00:00:00",55,0.5218,0.4193333,17.13667,0.5204,0.6339833,17.02155
"2017-12-04 01:00:00",56,0.5217167,0.4193666,17.17138,0.5206,0.6335167,17.05308
"2017-12-04 02:00:00",57,0.5213,0.41905,17.18508,0.5206,0.63315,17.07865
"2017-12-04 03:00:00",58,0.5213,0.4190334,17.19695,0.5206,0.6330833,17.08595
"2017-12-04 04:00:00",59,0.5213,0.41905,17.20563,0.5206,0.63275,17.09147
"2017-12-04 05:00:00",60,0.5213,0.4186,17.17777,0.5206,0.6320167,17.07227
"2017-12-04 06:00:00",61,0.5213,0.4187833,17.19512,0.5206,0.6316,17.08915
"2017-12-04 07:00:00",62,0.5213,0.4188667,17.2143,0.5206,0.63205,17.10152
"2017-12-04 08:00:00",63,0.5213,0.4190334,17.22527,0.5202,0.6314833,17.0997
"2017-12-04 09:00:00",64,0.5213,0.4186667,17.22432,0.5202,0.6313334,17.10517
"2017-12-04 10:00:00",65,0.5213,0.41845,17.22663,0.5202,0.6306167,17.1198
"2017-12-04 11:00:00",66,0.5213,0.4184833,17.22435,0.5202,0.63045,17.12023
"2017-12-04 12:00:00",67,0.5213,0.4183333,17.24762,0.5198,0.62995,17.13713
"2017-12-04 13:00:00",68,0.5213,0.418,17.26633,0.5198,0.62965,17.17183
"2017-12-04 14:00:00",69,0.5213,0.4175334,17.30058,0.5198,0.6294666,17.23163
"2017-12-04 15:00:00",70,0.5213,0.4177,17.32113,0.5198,0.6288167,17.26313
"2017-12-04 16:00:00",71,0.5210333,0.41745,17.36177,0.5198,0.6285,17.29282
"2017-12-04 17:00:00",72,0.5209,0.4174833,17.35081,0.5193,0.6285333,17.26817
"2017-12-04 18:00:00",73,0.5209,0.4176333,17.36268,0.5193,0.6282667,17.28552
"2017-12-04 19:00:00",74,0.5209,0.418,17.3613,0.5193,0.6287,17.27822
"2017-12-04 20:00:00",75,0.5209,0.4180667,17.31062,0.5193,0.6288,17.2385
"2017-12-04 21:00:00",76,0.5209,0.4179,17.27365,0.5193,0.6286667,17.1974
"2017-12-04 22:00:00",77,0.5209,0.4178833,17.21478,0.5193,0.6276833,17.16042
"2017-12-04 23:00:00",78,0.5209,0.41765,17.17275,0.5193,0.6271666,17.12206
"2017-12-05 00:00:00",79,0.5209,0.4171167,17.11385,0.5193,0.6267,17.08095
"2017-12-05 01:00:00",80,0.5209,0.4167833,17.06038,0.5189666,0.6250833,17.0307
"2017-12-05 02:00:00",81,0.5209,0.41615,16.99142,0.5189,0.6245167,16.97317
"2017-12-05 03:00:00",82,0.5209,0.4154667,16.92563,0.5189,0.6234167,16.90142
"2017-12-05 04:00:00",83,0.5205,0.4149167,16.87308,0.5189,0.622,16.85982
"2017-12-05 05:00:00",84,0.5205,0.4140834,16.8338,0.5185666,0.6209666,16.80728
"2017-12-05 06:00:00",85,0.5205,0.4136834,16.77712,0.5184999,0.6198667,16.76888
"2017-12-05 07:00:00",86,0.5205,0.4129667,16.74058,0.5184999,0.6187333,16.725
"2017-12-05 08:00:00",87,0.5205,0.41275,16.74648,0.5184999,0.6180833,16.72408
"2017-12-05 09:00:00",88,0.5205,0.4123833,16.78122,0.5184333,0.6172834,16.75565
"2017-12-05 10:00:00",89,0.5205,0.4124166,16.81643,0.5181,0.6167833,16.7625
"2017-12-05 11:00:00",90,0.5205,0.4121333,16.84522,0.5181,0.6157166,16.80777
"2017-12-05 12:00:00",91,0.52025,0.4116333,16.89867,0.5181,0.6147667,16.85982
"2017-12-05 13:00:00",92,0.52,0.4116667,16.92151,0.5181,0.6141834,16.89
"2017-12-05 14:00:00",93,0.52,0.41125,16.9503,0.5181,0.614,16.90325
"2017-12-05 15:00:00",94,0.52,0.4106667,16.96128,0.5176,0.6131,16.9238
"2017-12-05 16:00:00",95,0.52,0.4109,17.05718,0.5176,0.6122167,17.01105
"2017-12-05 17:00:00",96,0.52,0.4115333,17.4138,0.5176,0.6122333,17.41425
"2017-12-05 18:00:00",97,0.52005,0.4124167,17.22433,0.5176,0.6137667,17.19968
"2017-12-05 19:00:00",98,0.5200834,0.4129167,17.18052,0.5176,0.6143166,17.14443
"2017-12-05 20:00:00",99,0.5201001,0.4129833,17.13165,0.5176,0.6138333,17.09833
"2017-12-05 21:00:00",100,0.5201001,0.4133333,17.1006,0.5176,0.61345,17.07502
"2017-12-05 22:00:00",101,0.5201001,0.4130667,17.08733,0.5176,0.6132333,17.02935
"2017-12-05 23:00:00",102,0.5201001,0.4131833,17.059,0.5175334,0.6125333,17.0106
"2017-12-06 00:00:00",103,0.5201001,0.4132167,17.01382,0.5176,0.6116833,16.9782
"2017-12-06 01:00:00",104,0.5200667,0.4125834,16.96675,0.5176,0.61145,16.94302
"2017-12-06 02:00:00",105,0.5200333,0.41245,16.92793,0.5176,0.61035,16.90095
"2017-12-06 03:00:00",106,0.52,0.4115334,16.8941,0.5176,0.6095667,16.87217
"2017-12-06 04:00:00",107,0.5196666,0.4113,16.85802,0.5176,0.6085167,16.82875
"2017-12-06 05:00:00",108,0.5196,0.4105,16.82738,0.51735,0.6074,16.80043
"2017-12-06 06:00:00",109,0.5196,0.4104667,16.79632,0.5172,0.6064333,16.76202
"2017-12-06 07:00:00",110,0.5196,0.4101167,16.768,0.5172,0.6053,16.72317
"2017-12-06 08:00:00",111,0.5196,0.40945,16.7707,0.5172,0.60475,16.73508
"2017-12-06 09:00:00",112,0.5196,0.4093,16.79905,0.5172,0.6042833,16.74238
"2017-12-06 10:00:00",113,0.5198666,0.4090334,16.83013,0.5172,0.60305,16.75019
"2017-12-06 11:00:00",114,0.52,0.4086167,16.84202,0.5169333,0.6026834,16.77892
"2017-12-06 12:00:00",115,0.52,0.4086333,16.85663,0.5168,0.6017666,16.79677
"2017-12-06 13:00:00",116,0.5197333,0.4082333,16.86578,0.5168,0.6011167,16.81323
"2017-12-06 14:00:00",117,0.5196,0.40805,16.88817,0.5164666,0.6007833,16.83473
"2017-12-06 15:00:00",118,0.5196,0.4076834,17.24115,0.5163999,0.60015,17.17267
"2017-12-06 16:00:00",119,0.5196,0.4086167,17.86323,0.5163999,0.6011333,17.85962
"2017-12-06 17:00:00",120,0.52,0.40975,17.52973,0.5163833,0.6030167,17.51648
"2017-12-06 18:00:00",121,0.52,0.4109,17.38003,0.5163167,0.60415,17.36132
"2017-12-06 19:00:00",122,0.52,0.4111667,17.33345,0.5163167,0.6040333,17.2983
"2017-12-06 20:00:00",123,0.5196,0.4114167,17.2645,0.51635,0.6034834,17.24488
"2017-12-06 21:00:00",124,0.5196,0.4113667,17.2184,0.5163999,0.6027,17.18963
"2017-12-06 22:00:00",125,0.5196,0.4110833,17.16223,0.5162334,0.6018334,17.14627
"2017-12-06 23:00:00",126,0.5196,0.4107167,17.11887,0.5159001,0.6006667,17.08692
"2017-12-07 00:00:00",127,0.5196,0.4105833,17.06403,0.5159001,0.5996333,17.0412
