"TOA5","CR200 Series","CR200X","27364","CR200X.Std.04","Sxxxx V1_09 test DB_3&2.CR2","6471","DYL_test_p2_2"
"TIMESTAMP","RECORD","Perm_4_Avg","Period_4_Avg","VR_4_Avg","Perm_5_Avg","Period_5_Avg","VR_5_Avg"
"TS","RN","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg"
"2017-12-01 17:00:00",0,43.42805,2.15035,1.53505,43.7049,2.1543,1.84145
"2017-12-01 18:00:00",1,43.46556,2.1509,1.53615,43.70366,2.1543,1.8434
"2017-12-01 19:00:00",2,43.46638,2.1509,1.537467,43.70265,2.1543,1.845083
"2017-12-01 20:00:00",3,43.46642,2.1509,1.537517,43.67632,2.153933,1.845617
"2017-12-01 21:00:00",4,43.46637,2.1509,1.5375,43.62508,2.1532,1.84445
"2017-12-01 22:00:00",5,43.46615,2.1509,1.537133,43.6253,2.1532,1.844167
"2017-12-01 23:00:00",6,43.46588,2.1509,1.536683,43.62585,2.1532,1.843217
"2017-12-02 00:00:00",7,43.46585,2.1509,1.536633,43.62665,2.1532,1.841933
"2017-12-02 01:00:00",8,43.46547,2.1509,1.535983,43.58825,2.15265,1.8411
"2017-12-02 02:00:00",9,43.42809,2.15035,1.535183,43.54995,2.1521,1.84015
"2017-12-02 03:00:00",10,43.40332,2.149983,1.5348,43.55046,2.1521,1.839333
"2017-12-02 04:00:00",11,43.40315,2.149984,1.534567,43.5509,2.1521,1.83865
"2017-12-02 05:00:00",12,43.40285,2.149983,1.534033,43.55153,2.1521,1.837633
"2017-12-02 06:00:00",13,43.46414,2.1509,1.53385,43.55194,2.1521,1.837
"2017-12-02 07:00:00",14,43.41504,2.150167,1.533883,43.51323,2.1515,1.836733
"2017-12-02 08:00:00",15,43.46395,2.1509,1.533533,43.47485,2.1509,1.83605
"2017-12-02 09:00:00",16,43.46357,2.1509,1.5329,43.47498,2.1509,1.835867
"2017-12-02 10:00:00",17,43.46376,2.1509,1.533217,43.47492,2.1509,1.835933
"2017-12-02 11:00:00",18,43.46379,2.1509,1.533317,43.44989,2.150533,1.834617
"2017-12-02 12:00:00",19,43.46382,2.1509,1.533317,43.39954,2.1498,1.8325
"2017-12-02 13:00:00",20,43.4636,2.1509,1.532983,43.40132,2.1498,1.829617
"2017-12-02 14:00:00",21,43.4637,2.1509,1.533116,43.40248,2.1498,1.8277
"2017-12-02 15:00:00",22,43.46379,2.1509,1.533283,43.33895,2.148883,1.8262
"2017-12-02 16:00:00",23,43.43913,2.150533,1.533133,43.32788,2.1487,1.823183
"2017-12-02 17:00:00",24,43.39006,2.1498,1.53325,43.25072,2.1475,1.823183
"2017-12-02 18:00:00",25,43.39006,2.1498,1.53325,43.2517,2.1475,1.821567
"2017-12-02 19:00:00",26,43.3902,2.1498,1.53345,43.25205,2.1475,1.82095
"2017-12-02 20:00:00",27,43.39015,2.1498,1.533383,43.2528,2.1475,1.819733
"2017-12-02 21:00:00",28,43.37767,2.149617,1.533017,43.20172,2.146767,1.819283
"2017-12-02 22:00:00",29,43.32885,2.148883,1.53345,43.1765,2.1464,1.818483
"2017-12-02 23:00:00",30,43.31667,2.1487,1.5336,43.1767,2.1464,1.818183
"2017-12-03 00:00:00",31,43.31656,2.1487,1.5334,43.1775,2.1464,1.816833
"2017-12-03 01:00:00",32,43.31632,2.1487,1.532967,43.17784,2.1464,1.816283
"2017-12-03 02:00:00",33,43.3165,2.1487,1.533317,43.10125,2.1453,1.815767
"2017-12-03 03:00:00",34,43.31645,2.1487,1.533217,43.1014,2.1453,1.815567
"2017-12-03 04:00:00",35,43.31617,2.1487,1.53275,43.10185,2.1453,1.81475
"2017-12-03 05:00:00",36,43.31635,2.1487,1.5331,43.10225,2.1453,1.814083
"2017-12-03 06:00:00",37,43.316,2.1487,1.532467,43.10275,2.1453,1.813267
"2017-12-03 07:00:00",38,43.31628,2.1487,1.532917,41.95082,2.1441,1.8132
"2017-12-03 08:00:00",39,43.31605,2.1487,1.532567,41.95118,2.1441,1.812617
"2017-12-03 09:00:00",40,43.31598,2.1487,1.53245,41.95158,2.1441,1.811917
"2017-12-03 10:00:00",41,43.31592,2.1487,1.532333,41.95157,2.1441,1.811917
"2017-12-03 11:00:00",42,43.31575,2.1487,1.532067,41.95207,2.1441,1.8111
"2017-12-03 12:00:00",43,42.65722,2.1481,1.532317,41.91348,2.14355,1.81095
"2017-12-03 13:00:00",44,41.99842,2.1475,1.53225,41.8751,2.143,1.8105
"2017-12-03 14:00:00",45,41.9982,2.1475,1.531933,41.87556,2.143,1.809733
"2017-12-03 15:00:00",46,41.99825,2.1475,1.532017,41.87598,2.143,1.80905
"2017-12-03 16:00:00",47,41.99798,2.1475,1.531733,41.8762,2.143,1.80865
"2017-12-03 17:00:00",48,41.99782,2.1475,1.5315,41.87662,2.143,1.807933
"2017-12-03 18:00:00",49,41.99767,2.1475,1.5313,41.8126,2.142083,1.807467
"2017-12-03 19:00:00",50,41.99775,2.1475,1.5314,41.8001,2.1419,1.806767
"2017-12-03 20:00:00",51,41.99725,2.1475,1.5308,41.8004,2.1419,1.806367
"2017-12-03 21:00:00",52,41.99776,2.1475,1.531433,41.80052,2.1419,1.806117
"2017-12-03 22:00:00",53,41.99752,2.1475,1.531117,41.80088,2.1419,1.8055
"2017-12-03 23:00:00",54,41.99763,2.1475,1.531283,41.78846,2.141717,1.804817
"2017-12-04 00:00:00",55,41.99723,2.1475,1.530767,41.7629,2.14135,1.80455
"2017-12-04 01:00:00",56,41.98513,2.147317,1.5308,41.80175,2.1419,1.804017
"2017-12-04 02:00:00",57,41.92423,2.1464,1.530417,41.80205,2.1419,1.803533
"2017-12-04 03:00:00",58,41.92418,2.1464,1.53035,41.80212,2.1419,1.803433
"2017-12-04 04:00:00",59,41.92421,2.1464,1.530383,41.80235,2.1419,1.803
"2017-12-04 05:00:00",60,41.92378,2.1464,1.529833,41.80288,2.1419,1.802083
"2017-12-04 06:00:00",61,41.92395,2.1464,1.53005,41.80318,2.1419,1.801533
"2017-12-04 07:00:00",62,41.92402,2.1464,1.53015,41.80287,2.1419,1.8021
"2017-12-04 08:00:00",63,41.92422,2.1464,1.530367,41.72626,2.1408,1.801383
"2017-12-04 09:00:00",64,41.9238,2.1464,1.5299,41.72638,2.1408,1.80115
"2017-12-04 10:00:00",65,41.92363,2.1464,1.52965,41.72692,2.1408,1.800217
"2017-12-04 11:00:00",66,41.92365,2.1464,1.529683,41.72703,2.1408,1.800033
"2017-12-04 12:00:00",67,41.92347,2.1464,1.529483,41.65047,2.1396,1.7994
"2017-12-04 13:00:00",68,41.92315,2.1464,1.529067,41.6507,2.1396,1.799017
"2017-12-04 14:00:00",69,41.92263,2.1464,1.528433,41.65083,2.1396,1.798767
"2017-12-04 15:00:00",70,41.92282,2.1464,1.52865,41.65133,2.1396,1.797967
"2017-12-04 16:00:00",71,41.87413,2.145667,1.5283,41.65157,2.1396,1.797583
"2017-12-04 17:00:00",72,41.85,2.1453,1.5284,41.57472,2.1385,1.797583
"2017-12-04 18:00:00",73,41.85015,2.1453,1.528583,41.57492,2.1385,1.797233
"2017-12-04 19:00:00",74,41.8505,2.1453,1.529033,41.57458,2.1385,1.797783
"2017-12-04 20:00:00",75,41.85058,2.1453,1.529133,41.57449,2.1385,1.797933
"2017-12-04 21:00:00",76,41.85043,2.1453,1.52895,41.5746,2.1385,1.797767
"2017-12-04 22:00:00",77,41.85038,2.1453,1.528883,41.57537,2.1385,1.796467
"2017-12-04 23:00:00",78,41.85015,2.1453,1.528617,41.57572,2.1385,1.79585
"2017-12-05 00:00:00",79,41.8496,2.1453,1.52795,41.57614,2.1385,1.7952
"2017-12-05 01:00:00",80,41.84927,2.1453,1.5275,41.51337,2.137583,1.793183
"2017-12-05 02:00:00",81,41.84864,2.1453,1.5267,41.50105,2.1374,1.792417
"2017-12-05 03:00:00",82,41.8479,2.1453,1.525833,41.50188,2.1374,1.791017
"2017-12-05 04:00:00",83,41.77481,2.1441,1.52515,41.5029,2.1374,1.78925
"2017-12-05 05:00:00",84,41.77394,2.1441,1.52405,41.43988,2.1364,1.787867
"2017-12-05 06:00:00",85,41.77355,2.1441,1.52355,41.42795,2.1362,1.786433
"2017-12-05 07:00:00",86,41.77278,2.1441,1.522633,41.4288,2.1362,1.785
"2017-12-05 08:00:00",87,41.77258,2.1441,1.52235,41.42926,2.1362,1.78415
"2017-12-05 09:00:00",88,41.77218,2.1441,1.521917,41.41708,2.136017,1.783183
"2017-12-05 10:00:00",89,41.77222,2.1441,1.521917,41.35379,2.1351,1.782467
"2017-12-05 11:00:00",90,41.77192,2.1441,1.521583,41.35457,2.1351,1.78115
"2017-12-05 12:00:00",91,41.73518,2.14355,1.520917,41.35525,2.1351,1.779917
"2017-12-05 13:00:00",92,41.69905,2.143,1.521,41.35565,2.1351,1.779183
"2017-12-05 14:00:00",93,41.69864,2.143,1.520483,41.3558,2.1351,1.778933
"2017-12-05 15:00:00",94,41.69798,2.143,1.519717,41.28017,2.134,1.77775
"2017-12-05 16:00:00",95,41.69822,2.143,1.519983,41.28078,2.134,1.77665
"2017-12-05 17:00:00",96,41.6989,2.143,1.520833,41.28078,2.134,1.776667
"2017-12-05 18:00:00",97,41.69983,2.143,1.52195,41.27968,2.134,1.77865
"2017-12-05 19:00:00",98,41.70037,2.143,1.522583,41.27929,2.134,1.779333
"2017-12-05 20:00:00",99,41.7004,2.143,1.522667,41.27962,2.134,1.77875
"2017-12-05 21:00:00",100,41.70078,2.143,1.523133,41.2799,2.134,1.778233
"2017-12-05 22:00:00",101,41.70048,2.143,1.522767,41.28003,2.134,1.777933
"2017-12-05 23:00:00",102,41.7006,2.143,1.5229,41.26786,2.1338,1.777067
"2017-12-06 00:00:00",103,41.70061,2.143,1.522917,41.28119,2.134,1.77595
"2017-12-06 01:00:00",104,41.7,2.143,1.522133,41.28133,2.134,1.775667
"2017-12-06 02:00:00",105,41.69985,2.143,1.521983,41.28212,2.134,1.774267
"2017-12-06 03:00:00",106,41.69888,2.143,1.520783,41.28268,2.134,1.77325
"2017-12-06 04:00:00",107,41.63837,2.142083,1.5205,41.2834,2.134,1.7719
"2017-12-06 05:00:00",108,41.62551,2.1419,1.519467,41.23343,2.1332,1.77045
"2017-12-06 06:00:00",109,41.62547,2.1419,1.51945,41.20875,2.1328,1.769183
"2017-12-06 07:00:00",110,41.6251,2.1419,1.518983,41.20951,2.1328,1.7678
"2017-12-06 08:00:00",111,41.62442,2.1419,1.51815,41.2099,2.1328,1.76705
"2017-12-06 09:00:00",112,41.62425,2.1419,1.51795,41.21024,2.1328,1.766433
"2017-12-06 10:00:00",113,41.67216,2.142633,1.517617,41.21105,2.1328,1.764867
"2017-12-06 11:00:00",114,41.69584,2.143,1.517067,41.16065,2.132067,1.7644
"2017-12-06 12:00:00",115,41.69583,2.143,1.517083,41.13595,2.1317,1.76325
"2017-12-06 13:00:00",116,41.64725,2.142267,1.516583,41.1364,2.1317,1.7624
"2017-12-06 14:00:00",117,41.62295,2.1419,1.51635,41.07343,2.130783,1.762
"2017-12-06 15:00:00",118,41.62259,2.1419,1.515883,41.06123,2.1306,1.76115
"2017-12-06 16:00:00",119,41.62353,2.1419,1.517067,41.06055,2.1306,1.76245
"2017-12-06 17:00:00",120,41.69705,2.143,1.51855,41.05923,2.1306,1.764833
"2017-12-06 18:00:00",121,41.69822,2.143,1.519967,41.05841,2.1306,1.766317
"2017-12-06 19:00:00",122,41.69852,2.143,1.520333,41.05848,2.1306,1.76615
"2017-12-06 20:00:00",123,41.62642,2.1419,1.520667,41.05892,2.1306,1.765433
"2017-12-06 21:00:00",124,41.6264,2.1419,1.520617,41.05947,2.1306,1.764433
"2017-12-06 22:00:00",125,41.6261,2.1419,1.52025,41.03478,2.1302,1.7633
"2017-12-06 23:00:00",126,41.62572,2.1419,1.519767,40.98508,2.1294,1.761867
"2017-12-07 00:00:00",127,41.6256,2.1419,1.519583,40.98578,2.1294,1.760483
"2017-12-07 01:00:00",128,41.62489,2.1419,1.518717,40.98693,2.1294,1.758417
"2017-12-07 02:00:00",129,41.60017,2.141534,1.51795,40.93744,2.128667,1.756667
"2017-12-07 03:00:00",130,41.55145,2.1408,1.517233,40.9132,2.1283,1.754867
"2017-12-07 04:00:00",131,41.49072,2.1398,1.516483,40.91395,2.1283,1.7534
"2017-12-07 05:00:00",132,41.47803,2.1396,1.51565,40.90247,2.128117,1.7513
"2017-12-07 06:00:00",133,41.47768,2.1396,1.515233,40.83992,2.1272,1.750617
"2017-12-07 07:00:00",134,41.47676,2.1396,1.514067,40.84089,2.1272,1.74875
"2017-12-07 08:00:00",135,41.47634,2.1396,1.51355,40.84135,2.1272,1.747833
"2017-12-07 09:00:00",136,41.4398,2.13905,1.512883,40.84224,2.1272,1.746067
"2017-12-07 10:00:00",137,41.40295,2.1385,1.511883,40.77987,2.126283,1.745283
"2017-12-07 11:00:00",138,41.40236,2.1385,1.511183,40.76783,2.1261,1.74425
"2017-12-07 12:00:00",139,41.40215,2.1385,1.51085,40.76863,2.1261,1.7427
"2017-12-07 13:00:00",140,41.4014,2.1385,1.509933,40.78222,2.126283,1.740633
"2017-12-07 14:00:00",141,41.40062,2.1385,1.508967,40.76968,2.1261,1.740567
"2017-12-07 15:00:00",142,41.34035,2.137583,1.508617,40.77022,2.1261,1.7395
"2017-12-07 16:00:00",143,41.32853,2.1374,1.508833,40.7705,2.1261,1.738867
"2017-12-07 17:00:00",144,41.32835,2.1374,1.508583,40.7707,2.1261,1.73845
"2017-12-07 18:00:00",145,41.3283,2.1374,1.50855,40.7586,2.1259,1.737583
"2017-12-07 19:00:00",146,41.32785,2.1374,1.50795,40.69629,2.1249,1.737
"2017-12-07 20:00:00",147,41.32793,2.1374,1.508067,40.69646,2.1249,1.736583
"2017-12-07 21:00:00",148,41.32792,2.1374,1.508067,40.69643,2.1249,1.736617
"2017-12-07 22:00:00",149,41.31592,2.1372,1.508033,40.69663,2.1249,1.736167
"2017-12-07 23:00:00",150,41.25563,2.1362,1.50755,40.69702,2.1249,1.735433
"2017-12-08 00:00:00",151,41.25523,2.1362,1.507067,40.6973,2.1249,1.734783
"2017-12-08 01:00:00",152,41.25508,2.1362,1.50685,40.67255,2.124533,1.73425
"2017-12-08 02:00:00",153,41.25463,2.1362,1.506317,40.62307,2.1238,1.73315
"2017-12-08 03:00:00",154,41.25433,2.1362,1.505933,40.62338,2.1238,1.732533
"2017-12-08 04:00:00",155,41.25375,2.1362,1.505167,40.62389,2.1238,1.731383
"2017-12-08 05:00:00",156,41.2056,2.135467,1.50485,40.6242,2.1238,1.73075
"2017-12-08 06:00:00",157,41.18137,2.1351,1.504417,40.59982,2.123433,1.7295
"2017-12-08 07:00:00",158,41.18072,2.1351,1.503617,40.55012,2.1227,1.72905
"2017-12-08 08:00:00",159,41.18033,2.1351,1.503083,40.47568,2.1215,1.72825
"2017-12-08 09:00:00",160,41.18005,2.1351,1.502767,40.47642,2.1215,1.726733
"2017-12-08 10:00:00",161,41.1799,2.1351,1.50255,40.47682,2.1215,1.725817
"2017-12-08 11:00:00",162,41.1433,2.13455,1.5016,40.47727,2.1215,1.724883
"2017-12-08 12:00:00",163,41.10748,2.134,1.501717,40.44014,2.12095,1.724483
"2017-12-08 13:00:00",164,41.10738,2.134,1.5015,40.40325,2.1204,1.7235
"2017-12-08 14:00:00",165,41.10691,2.134,1.500983,40.40348,2.1204,1.722983
"2017-12-08 15:00:00",166,41.107,2.134,1.501067,40.40382,2.1204,1.722267
